Timestamp,1.,2.,3.,4.,5.,6.,7.,8.,9.,10.
11/23/2019 21:17:23,Eat Your Heart Out - Florescence ,Northlane - Alien,Dealer - Soul Burn,Bring Me The Horizon - Amo,Infant Annihilator - The Battle Of Yaldabaoth,Enterprise Earth - Luciferous,Fallujah - Undying Light,Fit For An Autopsy ‎– The Sea Of Tragic Beasts,Killswitch Engage - Atonement,AURORA - A Different Kind Of Human - Step 2
11/23/2019 21:47:23,Cult of Luna - A Dawn to Fear,Jinjer - Macro,Car Bomb - Mordial,Mother of Millions - Artifacts,Unprocessed - Artificial Void,Slipknot - We Are Not Your Kind,Leprous - Pitfalls,Devin Townsend - Empath,GAIA - Moons of Jupiter,Whitechapel - The Valley
11/23/2019 23:59:46,Devin Townsend - Empath,Heilung - Futha,Wilderun - Veil of Imagination,Schammasch - Hearts of No Light,Obsequiae - The Palms of Sorrowed Kings,Cult of Luna - A Dawn to Fear,Alcest - Spiritual Instinct ,Eluveitie - Ategantos,Gaahls Wyrd - Ghosts Invited,Cloak - The Burning Dawn
11/24/2019 0:42:17,Cult of Luna - A Dawn to Fear,Gentihaa - Reverse Entropy,Schammasch - Hearts of No Light,Hath - Of Rot and Ruin,Allegaeon - Apoptosis,The Drowning - The Radiant Dark,Isole - Dystopia,Wilderun - Veil of Imagination,Atlantean Kodax - The Course of Empire,A Swarm of the Sun - The Woods
11/24/2019 7:52:30, Mgła - Age of Excuse,White Ward - Love exchange failure,Fleshgod Apocalypse - Veleno,Alcest - Spiritual instinct,Shadow of intent - Melancholy,Rotting Christ - The Heretics,Meadows End - The grand Antiquation,,,
11/24/2019 8:31:42,Leprous - Pitfalls,Korn - The Nothing,Slipknot - We Are Not Your Kind,Soilwork - Verkligheten,Dream Theater - Distance Over Time,Periphery - Periphery IV: Hail Stan,Post Malone - Hollywood's Bleeding,Voyager - Colours in the Sun,Opeth - In Cauda Venenum,Car Bomb - Mordial
11/24/2019 12:10:02,Alcest - Spiritual Instinct,Opeth - In Cauda Venenum,Soen - Lotus ,Devin Townsend - Empath,Drab Majesty - Modern Mirror,Heilung- Futha,Chelsea Wolfe - Birth Of Violence ,Klone - Le Grand Voyage,Insomnium - Heart Like A Grave,Not sure
11/24/2019 15:21:15,Wilderun - Veil of Imagination,Opeth - In Cauda Venenum,Blind Guardian - Legacy of the Dark Lands,Northlane - Alien,Avantasia - Moonglow,Dreadnought - Emergence,Devin Townsend - Empath,Tool - Fear Inoculum,Leprous - Pitfalls,Within Temptation - Resist
11/24/2019 22:02:23,Within Temptation - Resist,Leprous - Pitfalls,Alcest - Spiritual Instinct,Opeth - In Cauda Venenum,Iapetus - The Body Cosmic,Blind Guardian - Legacy of the Dark Lands,Devin Townsend - Empath,Eluveitie - Ategnatos,Soen - Lotus,Delain - Hunter's Moon
11/25/2019 19:12:18,Devin Townsend - Empath,Schammasch - Hearts of No Light,Swallow the Sun - When a Shadow is Forced into the Light,Abyssic - High the Memory,Iapetus - The Body Cosmic,Mephorash - Shem Ha Mephorash,Disillusion - The Liberation,Warforged - I: Voice,Borknagar - True North,Cult of Luna - A Dawn to Fear
11/25/2019 20:20:21,Ihlo - Union,Thank You Scientist - Terraformer,Vale of Pnath - Accursed,Devin Townsend - Empath,Periphery - Periphery IV: Hail Stan,HYVMINE - Retaliation,Allegaeon - Apoptosis,Auras - Binary Garden,Valis Ablaze - Render,The Ansible - Forever
11/26/2019 13:36:41,Mephorash - Shem Ha Mephorash,Insomnium - Heart Like a Grave,Borknagar - True North,Mayhem - Daemon,Kampfar - Ofidians Manifest,Darkthrone - Old Star,Hecate Enthroned - Embrace of the Godless Aeon,Abbath - Outstrider,1349 - The Eternal Pathway, Mgła - Age of Excuse
11/26/2019 20:14:28,Borknagar - True North,Seraph in Travail - Lest They Feed Upon Your Soul,Gloryhammer - Legends From Beyond The Galactic Terrorvortex,Insomnium - Heart Like A Grave,Lemuria - The Hysterical Hunt,Blind Guardian - Legacy of the Dark Lands,Allegaeon - Apoptosis,Saor - Forgotten Paths,Fleshgod Apocalypse - Veleno,Fallujah - Undying Light
11/28/2019 10:10:56,Numenorean - Adore,Heilung - Futha,Insomnium - Heart Like a Grave,Cult of Luna - A Dawn to Fear,Devin Townsend - Empath,Blanck Mass - Animated Violence Mild,Swallow the Sun - When a Shadow is Forced Into the Light,Rorcal - Muladona,Dead to a Dying World - Elegy,Possessed - Revelations of Oblivion
11/28/2019 16:05:21,Andy Gillion - Neverafter,Abigail Williams - Walk Beyond the Dark,Soilwork - Verkligheten,Amon Amarth - Berserker,Opeth - In Cauda Venenum,Devin Townsend - Empath,Abbath - Outstrider,Insomnium - Heart Like a Grave,Borknagar - True North,In Mourning - Gardens of Storms
11/29/2019 1:14:57,Opeth - In Cauda Venenum,Tool - Fear Inoculum,Rotting Christ - The Heretics,Devin Townsend - Empath,Obsequiae - The Palms Of Sorrowed Kings,Alunah - Violet Hour,Panopticon - The Crescendo of Dusk,Pelican - Nighttime Stories,Allegaeon - Apoptosis,Whitechapel - The Valley
11/29/2019 8:10:33,Devin Townsend - Empath,Voyager - Colours in the Sun,Leprous - Pitfalls,Thank You Scientist - Terraformer,Anamanaguchi - [USA],Band-Maid - Band-Maiko,Absent Hearts - The Peak,Eluveitie - Ategnatos,Hania Rani - Esja,Evergrey - The Atlantic
11/29/2019 17:52:42,Hypno5e - A Distant (Dark) Source,Leprous - Pitfalls,Richard Henshall - The Cocoon,Allegaeon - Apoptosis,Blind Guardian - Legacy Of The Dark Lands,STRO - Loma,Soen - Lotus,Vanden Plas - The Ghost Xperiment - Awakening,Periphery - Periphery IV: Hail Stan,Avantasia - Moonglow
11/30/2019 9:08:05, Mgła - Age of Excuse,Swallow the Sun - When A Shadow Is Forced Into The Light,October Tide - In Splendor Below,Second To Sun - Legacy ,Evergrey - The Atlantic ,Noctem - The Black Concentration ,The Drowning - The Radiant Dark,Rotting Christ - The Heretics ,Carnifex - World War X ,Jinjer - Macro
